Modelo,RMSE (kW),MAE (kW),MAPE (%)
Persistencia Base (Lag-24),134.3184051513672,52.11750030517578,177.84564208984375
Regresión Lineal con Rezagos,52.6685519586225,30.43804283662676,103.2098673264016
XGBoost (Tuneado),37.24684143066406,15.894396781921387,56.49681854248047
