Modelo,Train R2,Train MAE (kW),Train RMSE (kW),Train MAPE (%),Test R2,Test MAE (kW),Test RMSE (kW),Test MAPE (%),Mejores Params
Regresión Lineal,0.9992731809616089,0.1655854880809784,0.27792972326278687,8.879531860351562,0.9993894696235657,0.16406702995300293,0.2552340626716614,8.954264640808105,
XGBoost,0.9997749924659729,0.08383294194936752,0.1546355038881302,1.3761253356933594,0.9996964931488037,0.08654268831014633,0.17996057868003845,1.40958571434021,
Random Forest,0.999626621257167,0.11834346325869005,0.19919968661867743,2.1624153052151933,0.9995667495034638,0.12124981646141761,0.2150065895494167,2.1976908964671726,
XGBoost (Tuneado),0.9996961355209351,0.08929439634084702,0.17970013618469238,1.607028603553772,0.999708890914917,0.08982254564762115,0.17624130845069885,1.6238365173339844,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
